use_terminal_cost,N,x0,theta0_deg,pass_case,survived_horizon,settled,failure_reason,failure_time_s,steps_completed,max_abs_theta_deg,max_abs_x_m,max_abs_u_n,final_x_m,final_theta_deg,final_rate_norm
False,20,-0.05,-8.0,False,True,False,--,nan,401,8.0,1.4639544320175377,9.997118536003972,1.4639544320175377,-0.011089876540781581,0.19184086138227813
False,20,-0.05,-5.0,False,True,False,--,nan,401,5.0,0.855559027098077,6.652559185432399,0.855559027098077,-0.006100973752557065,0.11424873025324392
False,20,-0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4885676137384349,3.9915376492976207,0.4885676137384349,-0.0034831310861762627,0.06786492747004236
False,20,-0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5900004848966535,3.991526959106678,-0.5900004848966535,0.004215936941286606,0.06838875874872599
False,20,-0.05,5.0,False,True,False,--,nan,401,5.0,0.9569918707347083,6.652548495241467,-0.9569918707347083,0.0068337794255385826,0.11477255794646891
False,20,-0.05,8.0,False,True,False,--,nan,401,8.0,1.5653865876505428,9.997119202267674,-1.5653865876505428,0.01182266585979606,0.1923645907980733
False,20,0.0,-8.0,False,True,False,--,nan,401,8.0,1.5146705098333249,9.997118869135871,1.5146705098333249,-0.011456271199665672,0.19210272608851642
False,20,0.0,-5.0,False,True,False,--,nan,401,5.0,0.9062754489160088,6.652553840336941,0.9062754489160088,-0.006467376588696652,0.11451064409754311
False,20,0.0,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5392840493173123,3.9915323042021535,0.5392840493173123,-0.0038495340135224765,0.06812684310574368
False,20,0.0,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5392840493173123,3.9915323042021535,-0.5392840493173123,0.0038495340135224765,0.06812684310574368
False,20,0.0,5.0,False,True,False,--,nan,401,5.0,0.9062754489160088,6.652553840336941,-0.9062754489160088,0.006467376588696652,0.11451064409754311
False,20,0.0,8.0,False,True,False,--,nan,401,8.0,1.5146705098333249,9.997118869135871,-1.5146705098333249,0.011456271199665672,0.19210272608851642
False,20,0.05,-8.0,False,True,False,--,nan,401,8.0,1.5653865876505428,9.997119202267674,1.5653865876505428,-0.01182266585979606,0.1923645907980733
False,20,0.05,-5.0,False,True,False,--,nan,401,5.0,0.9569918707347083,6.652548495241467,0.9569918707347083,-0.0068337794255385826,0.11477255794646891
False,20,0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5900004848966535,3.991526959106678,0.5900004848966535,-0.004215936941286606,0.06838875874872599
False,20,0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4885676137384349,3.9915376492976207,-0.4885676137384349,0.0034831310861762627,0.06786492747004236
False,20,0.05,5.0,False,True,False,--,nan,401,5.0,0.855559027098077,6.652559185432399,-0.855559027098077,0.006100973752557065,0.11424873025324392
False,20,0.05,8.0,False,True,False,--,nan,401,8.0,1.4639544320175377,9.997118536003972,-1.4639544320175377,0.011089876540781581,0.19184086138227813
False,30,-0.05,-8.0,False,True,False,--,nan,401,8.0,1.322411486714277,9.999995699302787,1.322411486714277,0.018894890867781778,0.15462297315503598
False,30,-0.05,-5.0,False,True,False,--,nan,401,5.0,0.7730562532820363,6.657186001897443,0.7730562532820363,0.011334430118396941,0.09258697092847482
False,30,-0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.43975919490868604,3.9943116933671163,0.43975919490868604,0.006743327808280115,0.055080668218921346
False,30,-0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5397649460620987,3.9943112322239593,-0.5397649460620987,-0.006741508852536504,0.05508238209526454
False,30,-0.05,5.0,False,True,False,--,nan,401,5.0,0.8730620035668802,6.657185540754297,-0.8730620035668802,-0.01133261115021314,0.09258868470374462
False,30,-0.05,8.0,False,True,False,--,nan,401,8.0,1.4224172140797973,9.99999570845237,-1.4224172140797973,-0.0188930715935105,0.15462468423439388
False,30,0.0,-8.0,False,True,False,--,nan,401,8.0,1.3724143503970434,9.999995703877607,1.3724143503970434,0.018893981230646232,0.15462382869471572
False,30,0.0,-5.0,False,True,False,--,nan,401,5.0,0.8230591284244574,6.657185771325897,0.8230591284244574,0.011333520634305028,0.09258782781610955
False,30,0.0,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.48976207048539283,3.9943114627955305,0.48976207048539283,0.006742418330408327,0.05508152515709309
False,30,0.0,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.48976207048539283,3.9943114627955305,-0.48976207048539283,-0.006742418330408327,0.05508152515709309
False,30,0.0,5.0,False,True,False,--,nan,401,5.0,0.8230591284244574,6.657185771325897,-0.8230591284244574,-0.011333520634305028,0.09258782781610955
False,30,0.0,8.0,False,True,False,--,nan,401,8.0,1.3724143503970434,9.999995703877607,-1.3724143503970434,-0.018893981230646232,0.15462382869471572
False,30,0.05,-8.0,False,True,False,--,nan,401,8.0,1.4224172140797973,9.99999570845237,1.4224172140797973,0.0188930715935105,0.15462468423439388
False,30,0.05,-5.0,False,True,False,--,nan,401,5.0,0.8730620035668802,6.657185540754297,0.8730620035668802,0.01133261115021314,0.09258868470374462
False,30,0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5397649460620987,3.9943112322239593,0.5397649460620987,0.006741508852536504,0.05508238209526454
False,30,0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.43975919490868604,3.9943116933671163,-0.43975919490868604,-0.006743327808280115,0.055080668218921346
False,30,0.05,5.0,False,True,False,--,nan,401,5.0,0.7730562532820363,6.657186001897443,-0.7730562532820363,-0.011334430118396941,0.09258697092847482
False,30,0.05,8.0,False,True,False,--,nan,401,8.0,1.322411486714277,9.999995699302787,-1.322411486714277,-0.018894890867781778,0.15462297315503598
False,40,-0.05,-8.0,False,True,False,--,nan,401,8.0,1.3173877353478127,9.99999999369331,1.3173877353478127,0.01986773707833293,0.15329796641507185
False,40,-0.05,-5.0,False,True,False,--,nan,401,5.0,0.7701335983002604,6.6571997652948225,0.7701335983002604,0.01190040739354552,0.09181616109084431
False,40,-0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4380215985510803,3.994319863090461,0.4380215985510803,0.007079688264975494,0.05462243218440289
False,40,-0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5380217730399371,3.9943198435224225,-0.5380217730399371,-0.0070796575332081925,0.054622475776855375
False,40,-0.05,5.0,False,True,False,--,nan,401,5.0,0.8701337727500819,6.657199745726704,-0.8701337727500819,-0.011900376661190579,0.09181620467877219
False,40,-0.05,8.0,False,True,False,--,nan,401,8.0,1.4173879088427344,9.999999993725314,-1.4173879088427344,-0.019867706331606984,0.15329800989182307
False,40,0.0,-8.0,False,True,False,--,nan,401,8.0,1.3673878220952738,9.999999993709318,1.3673878220952738,0.019867721704969935,0.15329798815344733
False,40,0.0,-5.0,False,True,False,--,nan,401,5.0,0.8201336855251703,6.657199755510735,0.8201336855251703,0.011900392027368036,0.09181618288480811
False,40,0.0,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4880216857955071,3.994319853306443,0.4880216857955071,0.0070796728990918266,0.05462245398062898
False,40,0.0,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4880216857955071,3.994319853306443,-0.4880216857955071,-0.0070796728990918266,0.05462245398062898
